species,tissue_type,cancer_type,cell_name,cellontology_id,marker,Symbol,GeneID
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,OFD1,OFD1,8481
Human,Nasopharynx,Nasopharyngeal Cancer,Epithelial cell,CL_0000066,KRT5,KRT5,3852
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,LTB,LTB,4050
Human,Nasopharynx,Nasopharyngeal Cancer,Macrophage,CL_0000235,SLC40A1,SLC40A1,30061
Human,Nasopharynx,Nasopharyngeal Cancer,T cell,CL_0000084,CD3G,CD3G,445347
Human,Nasopharynx,Nasopharyngeal Cancer,Macrophage,CL_0000235,CTSS,CTSS,1520
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,FKBP2,FKBP2,2286
Human,Nasopharynx,Nasopharyngeal Cancer,Monocyte,CL_0000576,EREG,EREG,2069
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,VIMP,SELENOS,55829
Human,Nasopharynx,Nasopharyngeal Cancer,Cancer-associated fibroblast,,DCN,DCN,1634
Human,Nasopharynx,Nasopharyngeal Cancer,Macrophage,CL_0000235,CCL3,CCL3,6348
Human,Nasopharynx,Nasopharyngeal Cancer,Macrophage,CL_0000235,GPNMB,GPNMB,10457
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,IDH3A,IDH3A,3419
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,APP,APP,351
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,LILRA4,LILRA4,23547
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,PTGDS,PTGDS,5730
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,HLA-C,HLA-C,3107
Human,Nasopharynx,Nasopharyngeal Cancer,Macrophage,CL_0000235,FCER1G,FCER1G,2207
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,SSR3,SSR3,6747
Human,Nasopharynx,Nasopharyngeal Cancer,Macrophage,CL_0000235,FCGR3A,FCGR3A,2215
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,LGALS1,LGALS1,3956
Human,Nasopharynx,Nasopharyngeal Cancer,Macrophage,CL_0000235,MARCKS,MARCKS,4082
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,MANF,MANF,7873
Human,Nasopharynx,Nasopharyngeal Cancer,Natural killer cell,CL_0000623,CTSW,CTSW,1521
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,RPN2,RPN2,6185
Human,Nasopharynx,Nasopharyngeal Cancer,Macrophage,CL_0000235,CTSB,CTSB,1508
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,PTPRS,PTPRS,5802
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,PSAP,PSAP,23787
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,UGCG,UGCG,7357
Human,Nasopharynx,Nasopharyngeal Cancer,T cell,CL_0000084,CD3E,CD3E,916
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,TMBIM6,TMBIM6,7009
Human,Nasopharynx,Nasopharyngeal Cancer,B cell,CL_0000236,CD79A,CD79A,973
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,KRTCAP2,KRTCAP2,200185
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,HSP90B1,HSP90B1,7184
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,SELL,SELL,6402
Human,Nasopharynx,Nasopharyngeal Cancer,Germinal center B cell,CL_0000844,ACTG1,ACTG1,71
Human,Nasopharynx,Nasopharyngeal Cancer,B cell,CL_0000236,CD19,CD19,930
Human,Nasopharynx,Nasopharyngeal Cancer,Germinal center B cell,CL_0000844,PTTG1,PTTG1,9232
Human,Nasopharynx,Nasopharyngeal Cancer,Germinal center B cell,CL_0000844,SERF2,SERF2,10169
Human,Nasopharynx,Nasopharyngeal Cancer,T cell,CL_0000084,CD3D,CD3D,915
Human,Nasopharynx,Nasopharyngeal Cancer,Germinal center B cell,CL_0000844,LPP,LPP,4026
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,C19orf10,MYDGF,56005
Human,Nasopharynx,Nasopharyngeal Cancer,Natural killer cell,CL_0000623,KLRD1,KLRD1,3824
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,JSRP1,JSRP1,126306
Human,Nasopharynx,Nasopharyngeal Cancer,B cell,CL_0000236,MS4A1,MS4A1,931
Human,Nasopharynx,Nasopharyngeal Cancer,Germinal center B cell,CL_0000844,HMGA1,HMGA1,3159
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,NEAT1,NEAT1,283131
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,CLIC3,CLIC3,9022
Human,Nasopharynx,Nasopharyngeal Cancer,Myeloid cell,CL_0000763,LAMP3,LAMP3,27074
Human,Nasopharynx,Nasopharyngeal Cancer,Macrophage,CL_0000235,GLUL,GLUL,2752
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,IGJ,JCHAIN,3512
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,TCF4,TCF4,6934
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,TSPAN13,TSPAN13,27075
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,PDIA4,PDIA4,9601
Human,Nasopharynx,Nasopharyngeal Cancer,Germinal center B cell,CL_0000844,GAPDH,GAPDH,100240709
Human,Nasopharynx,Nasopharyngeal Cancer,Epithelial cell,CL_0000066,KRT15,KRT15,3866
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,SPIB,SPIB,6689
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,SEC61B,SEC61B,10952
Human,Nasopharynx,Nasopharyngeal Cancer,Plasmacytoid dendritic cell(pDC),CL_0000784,C10orf118,CCDC186,55088
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,SPCS2,SPCS2,9789
Human,Nasopharynx,Nasopharyngeal Cancer,Plasma cell,CL_0000786,HERPUD1,HERPUD1,9709
Human,Nasopharynx,Nasopharyngeal Cancer,Germinal center B cell,CL_0000844,HMGN1,HMGN1,3150
Mouse,Pharynx,Normal,Mesoderm,CL_0000222,Prrx1,Prrx1,18933
Mouse,Pharynx,Normal,Mesoderm,CL_0000222,Tbx1,Tbx1,21380
Mouse,Placenta,Normal,Trophectoderm cell,CL_0002217,ACKR2,,
Mouse,Placenta,Normal,Trophoblast progenitor cell,,TFAP2C,,
Mouse,Placenta,Normal,Trophoblast giant cell,CL_0002488,CTSQ,,
Mouse,Placenta,Normal,Glycogentrophoblast,,PCDH12,,
Mouse,Placenta,Normal,Spongiotro phoblast,CL_0002499,PRL8A8,,
Mouse,Placenta,Normal,Parietal yolk sac cell,,PGA5,,
Mouse,Placenta,Normal,Trophoblast progenitor cell,,GJB3,,
Mouse,Placenta,Normal,Glycogentrophoblast,,IGFBP7,,
Mouse,Placenta,Normal,Spongiotro phoblast,CL_0002499,PRL3B1,,
Mouse,Placenta,Normal,Parietal yolk sac cell,,GKN2,,
Mouse,Placenta,Normal,Spongiotro phoblast,CL_0002499,TPBPA,,
Human,Chorionic villi,Normal,CD106+ mesenchymal stem cell,,CD87,PLAUR,5329
Human,Chorionic villi,Normal,CD106+ mesenchymal stem cell,,CD106,VCAM1,7412
Human,Chorionic villi,Normal,CD106+ mesenchymal stem cell,,CD248,CD248,57124
Human,Chorionic villi,Normal,CD106+ mesenchymal stem cell,,CD47,CD47,961
Mouse,Prostate,Normal,Basal cell,CL_0000646,P63,Trp63,22061
Mouse,Prostate,Normal,Basal cell,CL_0000646,CK5,Krt5,110308
Mouse,Prostate,Normal,Intestinal stem cell,CL_0000034,CK8,,
Human,Prostate,Normal,Stem cell,CL_0000034,CDK12,CDK12,51755
Mouse,Prostate,Normal,Smaller luminal cell,,PSCA,,
Mouse,Prostate,Normal,Macrophage,CL_0000235,IBA1,,
Mouse,Prostate,Normal,Basal cell,CL_0000646,TP63,,
Mouse,Prostate,Normal,Smaller luminal cell,,KRT4,,
Mouse,Prostate,Normal,Macrophage,CL_0000235,CD14,,
Mouse,Prostate,Normal,Persistent luminal cell,,CD24,,
Mouse,Prostate,Normal,Lymphatic endothelial cell,CL_0002138,CD31,,
Mouse,Prostate,Normal,Monocyte,CL_0000576,IBA1,,
Mouse,Prostate,Normal,Endothelial cell,CL_0000115,CD31,,
Mouse,Prostate,Normal,Stem cell,CL_0000034,Psca,Psca,72373
Mouse,Prostate,Normal,Basal cell,CL_0000646,KRT5,,
Mouse,Prostate,Normal,Monocyte,CL_0000576,CD14,,
Mouse,Prostate,Normal,Glial cell,CL_0000125,Sox10,Sox10,20665
Mouse,Prostate,Normal,Lymphatic endothelial cell,CL_0002138,Prox1,Prox1,17168
Mouse,Prostate,Normal,Stem cell,CL_0000034,Ly6a,Ly6a,110454
Mouse,Prostate,Normal,Dendritic cell,CL_0000451,Xcr1,Xcr1,23832
Mouse,Prostate,Normal,Club cell (Clara cell),CL_0000158,Scgb1a1,Scgb1a1,22287
Mouse,Prostate,Normal,Luminal cell,CL_0002235,CD24a,,
Mouse,Prostate,Normal,Basal cell,CL_0000646,Ck5,,
Mouse,Prostate,Normal,Stem cell,CL_0000034,Trop2,,
Mouse,Prostate,Normal,Proliferative cell,,Ki67,Mki67,17345
Mouse,Prostate,Normal,Epithelial cell,CL_0000066,Epcam,Epcam,17075
Mouse,Prostate,Normal,Luminal cell,CL_0002235,Krt18,Krt18,16668
Mouse,Prostate,Normal,Luminal cell,CL_0002235,Krt8,Krt8,16691
Mouse,Prostate,Normal,Distal cell,,Msmb,Msmb,17695
Mouse,Prostate,Normal,Distal cell,,Tgm4,Tgm4,331046
Mouse,Prostate,Normal,Proximal cell,,Ppp1r1b,Ppp1r1b,19049
Human,Prostate,Prostate Cancer,Cancer-associated fibroblast,,THY1,THY1,7070
Human,Prostate,Prostate Cancer,Endothelial cell,CL_0000115,PECAM1,PECAM1,5175
Human,Basilar membrane,Normal,Epithelial cell,CL_0000066,KRT5,KRT5,3852
Human,Prostate,Normal,Smooth muscle cell,CL_0000192,DES,DES,1674
Mouse,Urethra,Normal,Fibroblast,CL_0000057,Lgr5,Lgr5,14160
Human,Epithelium,Normal,Fibroblast,CL_0000057,APOD,APOD,347
Human,Prostate,Prostate Cancer,Cancer cell,CL_0001064,EGFR,EGFR,1956
Human,Prostate,Prostate Cancer,Cancer cell,CL_0001064,ATAD2,ATAD2,29028
Human,Prostate,Prostate Cancer,Cancer cell,CL_0001064,PFKFB4,PFKFB4,5210
Human,Prostate,Prostate Cancer,Cancer cell,CL_0001064,PIAS2,PIAS2,9063
Human,Prostate,Prostate Cancer,Cancer cell,CL_0001064,UBE2T,UBE2T,29089
Mouse,Prostate,Normal,Proximal luminal cell,,Ly6a,Ly6a,110454
Mouse,Prostate,Normal,Distal luminal cell,,Nkx3.1,,
Mouse,Prostate,Normal,Proximal luminal cell,,Tacstd2,Tacstd2,56753
Mouse,Prostate,Normal,Proximal luminal cell,,Sca-1,Ly6a,110454
Mouse,Prostate,Normal,Proximal luminal cell,,Trop2,,
Mouse,Prostate,Normal,Proximal luminal cell,,Psca,Psca,72373
Human,Epidermis,Prostate Cancer,Epithelial cell,CL_0000066,AR,AR,231
Human,Epidermis,Prostate Cancer,Cancer cell,CL_0001064,PTEN,PTEN,5728
Human,Epidermis,Prostate Cancer,Cancer cell,CL_0001064,EPCAM,EPCAM,4072
Human,Epidermis,Prostate Cancer,Cancer cell,CL_0001064,C-MYC,,
Human,Epidermis,Prostate Cancer,Cancer cell,CL_0001064,CDH1,CDH1,51343
Human,Epidermis,Prostate Cancer,Epithelial cell,CL_0000066,TMPRSS2,TMPRSS2,7113
Human,Epidermis,Prostate Cancer,Neuroendocrine cell,CL_0000165,Chromogranin A,,
Human,Epidermis,Prostate Cancer,Cancer cell,CL_0001064,AMACR,AMACR,23600
Human,Epidermis,Prostate Cancer,Epithelial cell,CL_0000066,NKX3.1,NKX3-1,4824
Human,Epidermis,Prostate Cancer,Basal cell,CL_0000646,KRT14,KRT14,3861
Human,Epidermis,Prostate Cancer,Luminal cell,CL_0002235,KRT8,KRT8,3856
Human,Epidermis,Prostate Cancer,Basal cell,CL_0000646,KRT5,KRT5,3852
Human,Prostate,Normal,Macrophage,CL_0000235,MAC1,,
Human,Prostate,Normal,Macrophage,CL_0000235,MAC2,LGALS3,3958
Human,Prostate,Prostate Cancer,Myeloid cell,CL_0000763,IL1B,IL1B,3553
Human,Prostate,Prostate Cancer,Luminal epithelial cell,CL_0002237,KLK2,KLK2,3817
Human,Prostate,Prostate Cancer,Luminal epithelial cell,CL_0002237,ACPP,ACP3,55
Human,Prostate,Prostate Cancer,Luminal epithelial cell,CL_0002237,NKX31,,
Human,Prostate,Prostate Cancer,Myeloid cell,CL_0000763,APOE,APOE,348
Human,Prostate,Prostate Cancer,Luminal epithelial cell,CL_0002326,NKX31,,
Human,Prostate,Prostate Cancer,Luminal epithelial cell,CL_0002237,MSMB,MSMB,4477
Human,Prostate,Prostate Cancer,Luminal epithelial cell,CL_0002326,MSMB,MSMB,4477
Human,Prostate,Prostate Cancer,Myeloid cell,CL_0000763,LYZ,LYZ,4069
Human,Prostate,Prostate Cancer,Luminal epithelial cell,CL_0002326,KLK3,KLK3,3818
Human,Prostate,Prostate Cancer,Luminal epithelial cell,CL_0002237,KLK3,KLK3,3818
Human,Prostate,Prostate Cancer,Luminal epithelial cell,CL_0002326,KLK2,KLK2,3817
Mouse,Prostate,Normal,T cell,CL_0000084,CD8,,
Mouse,Prostate,Normal,T cell,CL_0000084,CD3,Cd3e,12501
Mouse,Prostate,Normal,Macrophage,CL_0000235,CD11b,,
Mouse,Prostate,Normal,T cell,CL_0000084,CD4,,
Mouse,Prostate,Normal,B cell,CL_0000236,CD19,,
Mouse,Epithelium,Normal,Type B intercalated cell (Type B IC),CL_0002201,Slc26a4,Slc26a4,23985
Mouse,Epithelium,Normal,Distal convoluted tubular cell,CL_1000507,Slc12a3,Slc12a3,20497
Mouse,Epithelium,Normal,Descending thin limb type 1 cell  (DTL type 1 cell),,Slc14a2,Slc14a2,27411
Mouse,Epithelium,Normal,Cortical thick ascending limb cell (CTAL cell),,Umod,Umod,22242
Mouse,Epithelium,Normal,Medullary thick ascending limb limb cell (MTAL limb cell),,Umod,Umod,22242
Mouse,Epithelium,Normal,Inner Medullary Collecting Ductal cell,,Aqp2,Aqp2,11827
Mouse,Epithelium,Normal,Thin Ascending Limb cell,,Clcnka,Clcnka,12733
Mouse,Epithelium,Normal,Proximal S2 cell,,Slc22a6,Slc22a6,18399
Mouse,Epithelium,Normal,Principal cell,CL_0005009,Scnn1g,Scnn1g,20278
Mouse,Epithelium,Normal,Connecting tubular cell,,Scnn1g,Scnn1g,20278
Mouse,Epithelium,Normal,Macula densa cell,,Slc12a1,Slc12a1,20495
Mouse,Epithelium,Normal,Type A intercalated cell (Type A IC),CL_0005011,Slc4a1,Slc4a1,20533
Mouse,Epithelium,Normal,Medullary thick ascending limb limb cell (MTAL limb cell),,Slc12a1,Slc12a1,20495
Mouse,Epithelium,Normal,Inner Medullary Collecting Ductal cell,,Slc14a3,,
Mouse,Epithelium,Normal,Principal cell,CL_0005009,Aqp2,Aqp2,11827
Mouse,Epithelium,Normal,Proximal tubular cell,CL_1000839,Slc34a1,Slc34a1,20505
Mouse,Epithelium,Normal,Macula densa cell,,Oxtr,Oxtr,18430
Mouse,Epithelium,Normal,Proximal tubular cell,CL_1000839,Lrp2,Lrp2,14725
Mouse,Epithelium,Normal,Proximal S3 cell,,Agt,Agt,11606
Mouse,Epithelium,Normal,Podocyte,CL_0000653,Nphs1,Nphs1,54631
Mouse,Epithelium,Normal,Podocyte,CL_0000653,Nphs2,Nphs2,170484
Mouse,Epithelium,Normal,Macula densa cell,,Nos1,Nos1,18125
Mouse,Epithelium,Normal,Proximal S1 cell,,Slc5a2 ,,
Mouse,Epithelium,Normal,Connecting tubular cell,,Calb1,Calb1,12307
Mouse,Epithelium,Normal,Cortical thick ascending limb cell (CTAL cell),,Slc12a1,Slc12a1,20495
Mouse,Epithelium,Normal,Connecting tubular cell,,Aqp2,Aqp2,11827
Mouse,Submandibular gland,Normal,Macrophage,CL_0000235,Axl,Axl,26362
Mouse,Submandibular gland,Normal,Endothelial cell,CL_0000115,Pecam1,Pecam1,18613
Mouse,Submandibular gland,Normal,Macrophage,CL_0000235,Aif1,Aif1,11629
Mouse,Submandibular gland,Normal,Macrophage,CL_0000235,Iba1,Iba1,11629
Mouse,Submandibular gland,Normal,Macrophage,CL_0000235,Cd11c,Itgax,16411
Mouse,Submandibular gland,Normal,Macrophage,CL_0000235,Fcgr1,Fcgr1,14129
Mouse,Submandibular gland,Normal,Endothelial cell,CL_0000115,Cd31,Pecam1,18613
Mouse,Submandibular gland,Normal,Macrophage,CL_0000235,Cx3cr1 ,,
Mouse,Submandibular gland,Normal,Epithelial cell,CL_0000066,Keratin-5,,
Mouse,Submandibular gland,Normal,Macrophage,CL_0000235,F4/80,Adgre1,13733
Human,Salivary gland,Normal,Myeloid dendritic cell,CL_0000782,CD1C,CD1C,911
Human,Salivary gland,Normal,Natural killer cell,CL_0000623,KLRF1,KLRF1,51348
Human,Salivary gland,Normal,Macrophage,CL_0000235,SPP1,SPP1,30827
Human,Salivary gland,Normal,Cycling cell,,MKI67,MKI67,4288
Human,Salivary gland,Normal,Monocyte,CL_0000576,CD14,CD14,4695
Human,Salivary gland,Normal,Megakaryocyte,CL_0000556,MYL9,MYL9,10398
Human,Salivary gland,Normal,Plasma cell,CL_0000786,IGKC,IGKC,3514
Human,Salivary gland,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,IL3RA,IL3RA,3563
Human,Salivary gland,Normal,Monocyte,CL_0000576,FCGR3A,FCGR3A,2215
Human,Salivary gland,Normal,Red blood cell (erythrocyte),CL_0000232,HBB,HBB,85344
Human,Salivary gland,Normal,T cell,CL_0000084,CD3D,CD3D,915
Human,Salivary gland,Normal,B cell,CL_0000236,CD79A,CD79A,973
Human,Salivary gland,Normal,Macrophage,CL_0000235,FABP4,FABP4,2167
Human,Salivary gland,Normal,Macrophage,CL_0000235,FCN1,FCN1,2219
Human,Epithelium,Normal,Mesenchymal cell,CL_0008019,CDH11,CDH11,1009
Mouse,Salivary gland,Normal,Epithelial cell,CL_0000066,Sox9,Sox9,20682
Mouse,Salivary gland,Normal,Epithelial cell,CL_0000066,Vim29,,
Mouse,Salivary gland,Normal,Epithelial cell,CL_0000066,Trp63,Trp63,22061
Mouse,Salivary gland,Normal,Epithelial cell,CL_0000066,Irf628,,
Human,Salivary gland,Normal,Monocyte,CL_0000576,CD16,FCGR3A,2215
Human,Salivary gland,Normal,Natural killer cell,CL_0000623,CD56,NCAM1,4684
Human,Salivary gland,Normal,Monocyte,CL_0000576,CD68,CD68,968
Human,Salivary gland,Normal,B cell,CL_0000236,CD19,CD19,930
Human,Salivary gland,Normal,Monocyte,CL_0000576,CD14,CD14,4695
Human,Salivary gland,Normal,T cell,CL_0000084,CD3,,
Human,Salivary gland,Normal,Plasma cell,CL_0000786,CD138,SDC1,6382
Mouse,Hair follicle,Normal,Dermal condensate branch cell,,Foxd1,Foxd1,15229
Mouse,Hair follicle,Normal,Dermal cell,,Lum,Lum,17022
Mouse,Hair follicle,Normal,Dermal condensate branch cell,,Sox2,Sox2,20674
Mouse,Hair follicle,Normal,Epithelial cell,CL_0000066,Krt15,Krt15,16665
Mouse,Hair follicle,Normal,Dermal cell,,Col1a1,Col1a1,12842
Mouse,Hair follicle,Normal,Dermal condensate branch cell,,Sox18,Sox18,20672
Mouse,Hair follicle,Normal,Dermal condensate branch cell,,Foxp1,Foxp1,108655
Mouse,Hair follicle,Normal,Dermal condensate branch cell,,Prdm1,Prdm1,12142
Mouse,Hair follicle,Normal,Dermal condensate branch cell,,Sox9,Sox9,20682
Mouse,Hair follicle,Normal,Dermal condensate branch cell,,Gli1,Gli1,14632
Mouse,Hair follicle,Normal,Epithelial cell,CL_0000066,Krt14,Krt14,16664
Mouse,Hair follicle,Normal,Dermal condensate branch cell,,Hes1,Hes1,15205
Human,Sinus tissue,Normal,Plasma cell,CL_0000786,CD138,SDC1,6382
Mouse,Skeletal muscle,Normal,Skeletal muscle cell,CL_0000188,Tnni2,Tnni2,21953
Mouse,Skeletal muscle,Normal,Stromal cell,CL_0000499,Sdf2l1,Sdf2l1,64136
Mouse,Skeletal muscle,Normal,Tendon cell,CL_0000388,Tnmd,Tnmd,64103
Mouse,Skeletal muscle,Normal,Stromal cell,CL_0000499,Mmp3,Mmp3,17392
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,PAX1,PAX1,5075
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,FOXC2,FOXC2,2303
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,COL2A1,COL2A1,1280
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,NODAL,NODAL,4838
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,T,TBXT,6862
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,TBX18,TBX18,9096
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,FOXC1,FOXC1,2296
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,MEOX1,MEOX1,4222
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,PAX3,PAX3,5077
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,NCAD,CDH2,1000
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,MEOX2,MEOX2,4223
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,HES7,HES7,84667
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,POU5F1,POU5F1,642559
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,F-ACTIN,,
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,UNCX,UNCX,340260
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,SOX2,SOX2,6657
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,MIXL1,MIXL1,83881
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,SOX9,SOX9,6662
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,NAAOG,,
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,RIPPLY1,RIPPLY1,92129
Human,Skeletal muscle,Normal,Pluripotent stem cell,CL_0002248,TCF15,TCF15,6939
Mouse,Skeletal muscle,Normal,Endothelial cell,CL_0000115,Pecaml,,
Human,Skin,Normal,Reticular fibroblast,,CNN1,CNN1,1264
Human,Skin,Normal,Papillary fibroblast,,CD26,DPP4,1803
Human,Skin,Normal,Reticular fibroblast,,ACTA2,ACTA2,59
Human,Skin,Normal,Reticular fibroblast,,COL11A1,COL11A1,1301
Human,Skin,Normal,Reticular fibroblast,,CD36,CD36,948
Human,Skin,Normal,Papillary fibroblast,,NTN1,NTN1,9423
Human,Skin,Normal,Fibroblast,CL_0000057,LYVE1,LYVE1,10894
Human,Skin,Normal,Fibroblast,CL_0000057,CD26,DPP4,1803
Human,Skin,Normal,Reticular fibroblast,,PPAR?,,
Human,Skin,Normal,Fibroblast,CL_0000057,CD36,CD36,948
Human,Skin,Normal,Reticular fibroblast,,MGP,MGP,4256
Human,Skin,Normal,Fibroblast,CL_0000057,FAP,FAP,1056
Human,Skin,Normal,Fibroblast,CL_0000057,KRT14,KRT14,3861
Human,Skin,Normal,Fibroblast,CL_0000057,CD90,THY1,7070
Human,Skin,Normal,Papillary fibroblast,,PDPN,PDPN,10630
Mouse,Skin,Melanoma,Lymphocyte,CL_0000542,Ctla2a,Ctla2a,13024
Mouse,Skin,Melanoma,Macrophage,CL_0000235,Cd14,Cd14,12475
Mouse,Skin,Melanoma,Lymphocyte,CL_0000542,Cd3g,Cd3g,12502
Mouse,Skin,Melanoma,Macrophage,CL_0000235,Cd68,Cd68,12514
Mouse,Skin,Melanoma,Macrophage,CL_0000235,Itgam,Itgam,16409
Mouse,Skin,Melanoma,Monocyte,CL_0000576,Cd14,Cd14,12475
Mouse,Skin,Melanoma,T cell,CL_0000084,Cd3g,Cd3g,12502
Mouse,Skin,Melanoma,Monocyte,CL_0000576,Cd68,Cd68,12514
Mouse,Skin,Melanoma,Lymphocyte,CL_0000542,Nkg7,Nkg7,72310
Mouse,Skin,Melanoma,Lymphocyte,CL_0000542,Trbc1,Trbc1,100125262
Mouse,Skin,Melanoma,Lymphocyte,CL_0000542,Cd8,,
Mouse,Skin,Melanoma,Monocyte,CL_0000576,Itgam,Itgam,16409
Mouse,Skin,Melanoma,Dendritic cell,CL_0000451,Itgax,Itgax,16411
Mouse,Skin,Melanoma,Natural killer cell,CL_0000623,Nkg7,Nkg7,72310
Human,Skin,Melanoma,Natural killer cell,CL_0000623,CD3G,CD3G,445347
Human,Skin,Melanoma,T cell,CL_0000084,ITGAE,ITGAE,3682
Human,Skin,Melanoma,T cell,CL_0000084,CD8B,CD8B,926
Human,Skin,Melanoma,Natural killer cell,CL_0000623,CD8A,CD8A,925
Human,Skin,Melanoma,T cell,CL_0000084,ENTPD1,ENTPD1,953
Human,Skin,Melanoma,T follicular helper(Tfh) cell,CL_0002038,CXCL13,CXCL13,10563
Human,Skin,Melanoma,Natural killer cell,CL_0000623,CD8B,CD8B,926
Human,Skin,Melanoma,Effector CD8 T cell,,GZMK,GZMK,3003
Human,Skin,Melanoma,Cytotoxic effector T cell,,GZMH,GZMH,2999
Human,Skin,Melanoma,T cell,CL_0000084,CD8A,CD8A,925
Human,Skin,Melanoma,Natural killer cell,CL_0000623,CD3D,CD3D,915
Human,Skin,Melanoma,Natural killer cell,CL_0000623,CD4,CD4,920
Human,Skin,Melanoma,T cell,CL_0000084,CD3G,CD3G,445347
Human,Skin,Melanoma,T cell,CL_0000084,CD3D,CD3D,915
Human,Skin,Melanoma,T cell,CL_0000084,KLRG1,KLRG1,10219
Human,Skin,Melanoma,T cell,CL_0000084,CD4,CD4,920
Mouse,Skin,Normal,Myeloid cell,CL_0000763,Mafb,Mafb,16658
Mouse,Skin,Normal,Myeloid cell,CL_0000763,Lyz2,Lyz2,17105
Mouse,Skin,Normal,Lymphatic endothelial cell,CL_0002138,Prox1,Prox1,17168
Mouse,Skin,Normal,Schwann cell,CL_0002573,Dbi,Dbi,13167
Mouse,Skin,Normal,Myeloid cell,CL_0000763,Pf4,Pf4,56744
Mouse,Skin,Normal,Myeloid cell,CL_0000763,C1qb,C1qb,12260
Mouse,Skin,Normal,Schwann cell,CL_0002573,Itih5,Itih5,209378
Mouse,Skin,Normal,Myeloid cell,CL_0000763,Cd14,Cd14,12475
Mouse,Skin,Normal,Schwann cell,CL_0002573,Gpm6b,Gpm6b,14758
Mouse,Skin,Normal,Endothelial cell,CL_0000115,Ly6c1,Ly6c1,17067
